Hospital Name,Beds Available,Ventilators Available,ICU Available,Location Type,Emergency Department,Pediatric Care,Specialized Department,Ambulance Services,Year of Establishment
Hospital 1112,268,5,32,Rural,No,No,Neurology,No,1966
Hospital 1113,154,11,32,Rural,Yes,Yes,Neurology,Yes,2007
Hospital 1114,85,55,5,Rural,No,No,Orthopedics,No,1986
Hospital 1115,410,72,91,Rural,No,Yes,Oncology,Yes,1978
Hospital 1116,88,57,95,Rural,No,Yes,None,Yes,2002
Hospital 1117,351,87,73,Urban,No,Yes,Neurology,No,1978
Hospital 1118,283,87,66,Rural,Yes,No,Oncology,Yes,1974
Hospital 1119,372,8,85,Urban,No,No,None,No,1980
Hospital 1120,364,60,31,Rural,Yes,Yes,None,Yes,1956
Hospital 1121,454,47,79,Urban,Yes,Yes,Orthopedics,Yes,2016
Hospital 1122,362,19,80,Rural,Yes,No,None,Yes,1978
Hospital 1123,141,41,96,Urban,Yes,Yes,Orthopedics,Yes,2011
Hospital 1124,25,76,1,Urban,No,No,Neurology,Yes,2012
Hospital 1125,362,8,65,Rural,No,Yes,Cardiology,Yes,1975
Hospital 1126,186,3,99,Urban,Yes,Yes,None,Yes,1974
Hospital 1127,165,29,14,Urban,No,Yes,Neurology,Yes,1995
Hospital 1128,76,89,22,Urban,Yes,No,Cardiology,No,2013
Hospital 1129,101,54,17,Rural,Yes,Yes,None,Yes,2019
Hospital 1130,321,98,88,Urban,No,No,Orthopedics,Yes,1990
Hospital 1131,400,90,100,Rural,Yes,Yes,General,Yes,1967
Hospital 1132,392,40,63,Rural,Yes,Yes,Oncology,No,2015
Hospital 1133,457,57,61,Urban,No,No,Cardiology,Yes,1984
Hospital 1134,472,48,25,Urban,Yes,Yes,Neurology,Yes,1962
Hospital 1135,204,48,13,Urban,Yes,No,None,No,1994
Hospital 1136,181,29,75,Rural,No,Yes,General,Yes,1972
Hospital 1137,155,41,3,Rural,Yes,Yes,None,No,1980
Hospital 1138,379,67,10,Rural,Yes,Yes,Neurology,Yes,2023
Hospital 1139,28,74,44,Rural,Yes,No,Cardiology,Yes,1969
Hospital 1140,378,25,97,Urban,No,No,Orthopedics,Yes,1955
Hospital 1141,304,4,72,Rural,Yes,No,General,No,2002
Hospital 1142,495,30,25,Urban,Yes,Yes,General,No,1966
Hospital 1143,205,2,35,Urban,No,Yes,Neurology,No,1986
Hospital 1144,278,35,29,Urban,Yes,No,Cardiology,No,1964
Hospital 1145,372,50,10,Urban,Yes,Yes,Orthopedics,Yes,2009
Hospital 1146,220,100,27,Urban,No,Yes,None,Yes,1975
Hospital 1147,231,94,30,Urban,Yes,No,Neurology,Yes,1973
Hospital 1148,256,73,60,Rural,No,Yes,General,Yes,1995
Hospital 1149,28,11,20,Urban,No,No,Cardiology,No,2003
Hospital 1150,103,66,97,Urban,No,Yes,Oncology,Yes,1992
Hospital 1151,261,9,56,Urban,Yes,Yes,General,No,2002
Hospital 1152,312,21,68,Rural,No,Yes,None,Yes,1963
Hospital 1153,296,80,86,Urban,Yes,Yes,Neurology,No,1953
Hospital 1154,207,37,3,Rural,No,Yes,Oncology,No,1965
Hospital 1155,228,13,73,Rural,No,No,Neurology,Yes,1976
Hospital 1156,264,59,85,Urban,Yes,No,Cardiology,Yes,1990
Hospital 1157,432,61,78,Urban,No,Yes,Neurology,No,2002
Hospital 1158,492,44,76,Rural,No,Yes,Neurology,Yes,1965
Hospital 1159,352,98,32,Urban,Yes,Yes,Cardiology,Yes,1972
Hospital 1160,346,60,35,Rural,No,No,General,Yes,1986
Hospital 1161,377,45,87,Rural,Yes,Yes,Oncology,Yes,1958
Hospital 1162,193,25,51,Rural,No,Yes,Orthopedics,Yes,1986
Hospital 1163,71,28,99,Rural,Yes,Yes,Cardiology,No,1991
Hospital 1164,56,55,52,Rural,Yes,No,Neurology,Yes,1975
Hospital 1165,238,68,58,Urban,No,No,None,Yes,1987
Hospital 1166,219,76,30,Rural,Yes,Yes,Cardiology,No,1980
Hospital 1167,416,28,91,Urban,No,No,Oncology,No,1995
Hospital 1168,28,36,55,Rural,Yes,No,None,No,2019
Hospital 1169,336,55,67,Urban,Yes,No,Cardiology,Yes,1965
Hospital 1170,459,18,40,Urban,No,No,Cardiology,No,1993
Hospital 1171,63,4,73,Urban,No,Yes,Cardiology,Yes,2007
Hospital 1172,293,80,11,Urban,Yes,No,Neurology,Yes,2009
Hospital 1173,310,97,84,Rural,No,Yes,None,Yes,1962
Hospital 1174,394,60,76,Urban,No,Yes,Oncology,No,2009
Hospital 1175,340,1,28,Urban,No,Yes,General,No,1994
Hospital 1176,185,38,87,Urban,Yes,No,General,No,2008
Hospital 1177,188,91,63,Rural,Yes,Yes,Neurology,No,1991
Hospital 1178,191,74,82,Urban,No,Yes,Orthopedics,No,1998
Hospital 1179,412,83,55,Rural,No,Yes,None,No,1991
Hospital 1180,378,100,95,Rural,No,Yes,Neurology,No,2007
Hospital 1181,178,9,93,Urban,No,No,None,Yes,1967
Hospital 1182,398,58,65,Rural,No,Yes,None,Yes,2005
Hospital 1183,222,56,68,Urban,No,Yes,Orthopedics,No,1963
Hospital 1184,337,85,80,Rural,No,No,General,Yes,2023
Hospital 1185,95,8,38,Urban,No,Yes,Neurology,No,1971
Hospital 1186,353,54,14,Rural,No,No,Neurology,Yes,1953
Hospital 1187,415,77,3,Rural,No,Yes,Cardiology,Yes,1997
Hospital 1188,175,20,64,Rural,Yes,No,None,Yes,1994
Hospital 1189,56,88,16,Urban,No,No,Oncology,Yes,1968
Hospital 1190,412,70,24,Urban,Yes,Yes,Cardiology,No,2019
Hospital 1191,297,42,37,Rural,No,Yes,Neurology,No,1991
Hospital 1192,70,55,74,Urban,Yes,No,General,No,1987
Hospital 1193,481,88,28,Urban,Yes,Yes,Neurology,Yes,2015
Hospital 1194,349,66,28,Rural,Yes,Yes,Oncology,Yes,1982
Hospital 1195,361,98,46,Urban,No,Yes,Oncology,Yes,1955
Hospital 1196,171,95,61,Urban,Yes,No,Neurology,No,2006
Hospital 1197,167,75,79,Urban,Yes,No,None,No,1989
Hospital 1198,488,51,64,Urban,No,Yes,Cardiology,Yes,1951
Hospital 1199,434,94,62,Rural,Yes,No,General,No,1976
Hospital 1200,157,59,36,Rural,Yes,No,Neurology,Yes,1984
Hospital 1201,400,50,32,Rural,Yes,Yes,General,No,1971
Hospital 1202,332,26,36,Urban,No,Yes,None,Yes,1970
Hospital 1203,247,93,1,Rural,No,Yes,General,Yes,2014
Hospital 1204,411,10,35,Urban,No,Yes,Neurology,No,1979
Hospital 1205,197,19,91,Rural,Yes,No,Cardiology,No,1965
Hospital 1206,208,75,72,Urban,Yes,Yes,Neurology,Yes,1967
Hospital 1207,100,81,32,Urban,No,No,Oncology,Yes,1995
Hospital 1208,118,68,100,Urban,Yes,No,Cardiology,No,2008
Hospital 1209,419,58,43,Urban,No,Yes,Oncology,Yes,1962
Hospital 1210,452,45,80,Urban,Yes,Yes,Orthopedics,No,1970
Hospital 1211,303,58,66,Urban,No,No,Oncology,No,2022
Hospital 1212,405,46,96,Urban,No,No,None,No,1981
Hospital 1213,355,89,40,Urban,No,Yes,Neurology,Yes,1976
Hospital 1214,287,62,41,Rural,No,Yes,Neurology,No,1963
Hospital 1215,250,88,70,Rural,No,Yes,General,Yes,2018
Hospital 1216,456,45,37,Urban,No,No,Oncology,Yes,1980
Hospital 1217,381,58,36,Rural,Yes,Yes,Neurology,No,2022
Hospital 1218,394,58,42,Rural,Yes,Yes,Cardiology,Yes,2009
Hospital 1219,21,12,86,Rural,Yes,No,Oncology,No,1964
Hospital 1220,324,23,54,Urban,Yes,Yes,Neurology,Yes,1998
Hospital 1221,308,33,52,Rural,Yes,No,Oncology,No,1986
Hospital 1222,451,41,12,Urban,Yes,No,General,Yes,2011
Hospital 1223,348,19,98,Rural,No,No,Orthopedics,Yes,2011
Hospital 1224,164,72,5,Urban,No,Yes,General,Yes,1974
Hospital 1225,116,55,99,Urban,No,Yes,Cardiology,No,1998
Hospital 1226,497,74,83,Rural,Yes,No,Oncology,Yes,1998
Hospital 1227,106,23,75,Urban,Yes,Yes,General,No,1960
Hospital 1228,475,74,76,Urban,No,Yes,Neurology,No,2016
Hospital 1229,165,4,41,Rural,Yes,Yes,Cardiology,No,2021
Hospital 1230,355,63,94,Rural,Yes,Yes,General,Yes,1972
Hospital 1231,416,100,48,Rural,Yes,Yes,Oncology,Yes,1990
Hospital 1232,387,57,46,Urban,Yes,Yes,General,Yes,1959
Hospital 1233,477,86,81,Rural,No,Yes,Oncology,Yes,1960
Hospital 1234,187,62,68,Rural,No,No,Neurology,No,1997
Hospital 1235,60,4,34,Rural,Yes,No,Neurology,Yes,2005
Hospital 1236,190,76,70,Urban,Yes,No,Cardiology,Yes,1950
Hospital 1237,140,80,70,Rural,No,No,Orthopedics,No,1995
Hospital 1238,395,62,59,Urban,No,No,General,No,1970
Hospital 1239,471,81,0,Rural,No,Yes,Neurology,No,1974
Hospital 1240,44,51,38,Rural,Yes,No,Oncology,Yes,2009
Hospital 1241,26,34,59,Urban,No,Yes,Orthopedics,Yes,1987
Hospital 1242,181,63,15,Rural,Yes,Yes,None,No,2014
Hospital 1243,460,69,97,Urban,No,Yes,General,Yes,2011
Hospital 1244,97,35,32,Rural,No,Yes,Neurology,No,2015
Hospital 1245,190,97,27,Rural,Yes,No,General,No,1991
Hospital 1246,48,44,79,Urban,Yes,Yes,General,No,1988
Hospital 1247,300,8,70,Urban,No,No,Cardiology,No,2019
Hospital 1248,306,71,25,Rural,No,Yes,General,No,1967
Hospital 1249,76,90,44,Urban,Yes,No,General,No,2005
Hospital 1250,105,27,95,Urban,Yes,No,Cardiology,No,1963
Hospital 1251,475,20,29,Rural,No,No,Cardiology,No,1987
Hospital 1252,235,50,58,Rural,No,Yes,Neurology,Yes,2013
Hospital 1253,341,17,28,Urban,No,Yes,Orthopedics,Yes,1995
Hospital 1254,82,38,66,Rural,No,No,Cardiology,Yes,1978
Hospital 1255,474,35,33,Urban,No,Yes,None,No,1980
Hospital 1256,317,5,54,Rural,Yes,Yes,Cardiology,No,1997
Hospital 1257,500,22,73,Rural,No,Yes,Orthopedics,No,1957
Hospital 1258,368,52,25,Urban,Yes,Yes,Neurology,No,2004
Hospital 1259,207,18,49,Rural,Yes,Yes,General,No,1980
Hospital 1260,262,55,41,Urban,Yes,No,Cardiology,Yes,1973
Hospital 1261,461,26,54,Urban,Yes,Yes,General,Yes,1995
Hospital 1262,264,86,47,Rural,No,No,Oncology,No,1964
Hospital 1263,68,6,0,Rural,Yes,Yes,Orthopedics,No,1962
Hospital 1264,405,67,49,Rural,Yes,Yes,Orthopedics,No,2016
Hospital 1265,418,83,11,Urban,Yes,No,Oncology,No,1968
Hospital 1266,491,50,60,Urban,No,No,Neurology,Yes,1983
Hospital 1267,252,26,41,Rural,Yes,Yes,Orthopedics,No,1950
Hospital 1268,215,96,71,Rural,No,Yes,Neurology,No,1957
Hospital 1269,133,7,47,Urban,No,No,General,No,1977
Hospital 1270,130,67,36,Urban,No,Yes,Cardiology,Yes,1998
Hospital 1271,144,37,76,Urban,Yes,Yes,General,Yes,1994
Hospital 1272,140,78,64,Urban,Yes,No,General,Yes,2016
Hospital 1273,171,33,23,Urban,Yes,Yes,Orthopedics,No,1953
Hospital 1274,389,29,87,Urban,Yes,No,Oncology,No,1987
Hospital 1275,169,61,27,Urban,No,No,General,No,2007
Hospital 1276,52,28,0,Urban,Yes,No,General,No,1981
Hospital 1277,228,0,16,Urban,Yes,No,Orthopedics,Yes,1971
Hospital 1278,66,52,41,Urban,Yes,Yes,Oncology,Yes,1951
Hospital 1279,84,18,33,Urban,No,No,Orthopedics,No,1983
Hospital 1280,288,62,42,Urban,No,Yes,Orthopedics,No,1971
Hospital 1281,199,15,79,Rural,No,Yes,Neurology,Yes,2021
Hospital 1282,286,55,74,Rural,No,No,None,No,1951
Hospital 1283,259,73,82,Rural,Yes,No,Cardiology,Yes,1975
Hospital 1284,268,84,66,Rural,No,No,Neurology,Yes,2006
Hospital 1285,141,92,88,Rural,No,Yes,Oncology,No,2022
Hospital 1286,407,49,66,Urban,No,Yes,None,No,1987
Hospital 1287,359,57,57,Rural,No,Yes,Oncology,No,1969
Hospital 1288,102,5,0,Urban,Yes,Yes,General,Yes,2021
Hospital 1289,220,97,19,Urban,Yes,Yes,None,Yes,1991
Hospital 1290,372,100,32,Rural,Yes,Yes,None,No,1973
Hospital 1291,307,60,69,Rural,No,No,Orthopedics,No,1976
Hospital 1292,444,83,5,Rural,Yes,Yes,Neurology,Yes,1976
Hospital 1293,380,94,10,Rural,Yes,No,Oncology,No,1983
Hospital 1294,286,29,92,Urban,Yes,No,Neurology,No,1989
Hospital 1295,21,88,94,Rural,Yes,No,None,No,1958
Hospital 1296,235,63,46,Urban,No,Yes,Cardiology,No,1957
Hospital 1297,493,4,92,Urban,Yes,No,Orthopedics,Yes,2003
Hospital 1298,408,89,17,Rural,Yes,Yes,Orthopedics,Yes,2008
Hospital 1299,117,20,82,Rural,Yes,Yes,Neurology,No,1972
Hospital 1300,259,100,82,Rural,Yes,No,Neurology,Yes,1959
Hospital 1301,31,60,22,Urban,Yes,No,None,Yes,1984
Hospital 1302,458,57,39,Rural,No,Yes,Neurology,Yes,1988
Hospital 1303,181,62,11,Rural,No,Yes,None,No,1950
Hospital 1304,20,73,68,Urban,Yes,Yes,Orthopedics,No,1981
Hospital 1305,263,21,68,Urban,No,Yes,Neurology,No,2014
Hospital 1306,98,56,45,Rural,No,Yes,Neurology,Yes,1956
Hospital 1307,416,47,70,Urban,Yes,Yes,General,No,2015
Hospital 1308,428,59,19,Rural,Yes,Yes,Oncology,No,1991
Hospital 1309,225,16,84,Rural,No,Yes,General,Yes,2007
Hospital 1310,107,32,28,Urban,Yes,Yes,Oncology,Yes,2019
Hospital 1311,407,25,56,Rural,No,Yes,Orthopedics,No,2000
Hospital 1312,475,92,9,Rural,No,Yes,None,No,1972
Hospital 1313,42,42,65,Urban,No,No,Oncology,No,1963
Hospital 1314,378,89,64,Rural,No,Yes,Cardiology,Yes,2008
Hospital 1315,431,47,97,Urban,Yes,No,Oncology,Yes,2020
Hospital 1316,363,68,24,Urban,No,No,Orthopedics,Yes,1956
Hospital 1317,464,62,63,Urban,Yes,Yes,Orthopedics,Yes,2010
Hospital 1318,390,40,26,Urban,No,Yes,None,Yes,1975
Hospital 1319,490,68,38,Rural,No,No,Orthopedics,Yes,1965
Hospital 1320,70,56,21,Rural,No,No,Orthopedics,Yes,1976
Hospital 1321,214,86,80,Urban,No,No,Orthopedics,Yes,1951
Hospital 1322,477,71,43,Rural,No,No,General,Yes,1971
Hospital 1323,467,1,7,Urban,Yes,Yes,Neurology,No,1960
Hospital 1324,124,90,93,Rural,No,Yes,Neurology,No,1993
Hospital 1325,498,80,47,Urban,Yes,No,Cardiology,No,2011
Hospital 1326,398,29,78,Rural,Yes,No,Orthopedics,No,1985
Hospital 1327,337,56,2,Urban,No,No,Orthopedics,Yes,1964
Hospital 1328,297,26,94,Urban,Yes,Yes,Oncology,No,1991
Hospital 1329,42,77,86,Rural,Yes,Yes,General,Yes,1971
Hospital 1330,275,17,8,Rural,Yes,No,Oncology,Yes,1989
Hospital 1331,146,53,93,Urban,No,No,Oncology,No,1974
Hospital 1332,446,10,34,Rural,No,No,Cardiology,Yes,1992
Hospital 1333,146,13,95,Urban,Yes,Yes,Neurology,No,1992
Hospital 1334,448,23,99,Urban,No,Yes,General,No,1986
Hospital 1335,499,18,77,Rural,Yes,No,Oncology,Yes,1973
Hospital 1336,116,56,49,Urban,No,Yes,Neurology,No,1951
Hospital 1337,61,21,64,Rural,Yes,Yes,Oncology,Yes,2012
Hospital 1338,400,35,2,Rural,No,Yes,General,No,1957
Hospital 1339,349,27,99,Urban,No,Yes,None,No,2009
Hospital 1340,164,17,50,Urban,Yes,Yes,None,Yes,1954
Hospital 1341,163,27,52,Urban,Yes,No,Oncology,Yes,2017
Hospital 1342,316,45,33,Urban,No,Yes,Orthopedics,Yes,2009
Hospital 1343,476,50,48,Urban,No,Yes,Oncology,Yes,1998
Hospital 1344,424,4,92,Urban,No,Yes,Neurology,Yes,1992
Hospital 1345,244,41,58,Rural,Yes,No,General,No,1989
Hospital 1346,265,98,17,Urban,No,No,Orthopedics,Yes,1965
Hospital 1347,289,100,52,Urban,No,No,Oncology,No,1963
Hospital 1348,195,49,89,Rural,No,No,Neurology,No,1989
Hospital 1349,127,99,51,Urban,No,No,Neurology,Yes,2008
Hospital 1350,481,74,10,Urban,Yes,No,General,No,1970
Hospital 1351,276,99,71,Urban,Yes,Yes,Orthopedics,Yes,2017
Hospital 1352,211,97,64,Urban,Yes,Yes,Oncology,No,1993
Hospital 1353,44,79,13,Urban,No,No,Oncology,Yes,1961
Hospital 1354,112,32,81,Rural,Yes,Yes,Neurology,No,1999
Hospital 1355,497,64,25,Urban,Yes,No,Oncology,No,1976
Hospital 1356,26,48,77,Urban,No,Yes,None,No,1982
Hospital 1357,42,89,60,Rural,No,No,Neurology,Yes,2023
Hospital 1358,336,76,37,Urban,No,No,Orthopedics,No,2009
Hospital 1359,110,49,19,Rural,Yes,No,None,Yes,1997
Hospital 1360,137,75,13,Rural,No,Yes,Oncology,Yes,1952
Hospital 1361,329,69,22,Rural,Yes,Yes,Orthopedics,No,2005
Hospital 1362,402,12,15,Rural,Yes,Yes,None,No,1989
Hospital 1363,51,25,62,Urban,Yes,Yes,None,Yes,1999
Hospital 1364,415,38,1,Urban,Yes,No,Orthopedics,Yes,1973
Hospital 1365,126,55,75,Urban,No,Yes,Neurology,No,1991
Hospital 1366,261,47,38,Urban,No,Yes,None,No,1955
Hospital 1367,396,25,6,Urban,No,Yes,Cardiology,No,1970
Hospital 1368,476,61,30,Rural,Yes,Yes,Neurology,Yes,2016
Hospital 1369,84,14,57,Urban,Yes,Yes,None,No,1983
Hospital 1370,63,19,9,Urban,No,Yes,General,No,1991
Hospital 1371,239,98,62,Rural,No,Yes,General,Yes,1994
Hospital 1372,353,60,45,Urban,No,Yes,None,No,2015
Hospital 1373,110,19,23,Urban,No,Yes,Neurology,No,1968
Hospital 1374,299,18,34,Rural,No,No,Cardiology,Yes,2002
Hospital 1375,487,73,95,Rural,Yes,No,Orthopedics,No,1968
Hospital 1376,145,51,44,Urban,No,No,Neurology,Yes,1957
Hospital 1377,123,59,27,Rural,Yes,Yes,Cardiology,No,2001
Hospital 1378,416,94,11,Urban,Yes,No,General,Yes,1973
Hospital 1379,284,9,94,Urban,Yes,Yes,Orthopedics,Yes,2020
Hospital 1380,74,66,98,Urban,Yes,Yes,General,No,2020
Hospital 1381,487,42,66,Rural,No,Yes,General,No,1990
Hospital 1382,276,39,81,Urban,Yes,No,Oncology,No,1978
Hospital 1383,213,74,38,Rural,No,No,Neurology,Yes,2020
Hospital 1384,250,45,51,Urban,Yes,Yes,None,Yes,1971
Hospital 1385,390,32,75,Rural,Yes,No,Cardiology,No,1963
Hospital 1386,435,70,2,Urban,Yes,No,Cardiology,No,1989
Hospital 1387,238,50,22,Rural,No,Yes,General,No,1958
Hospital 1388,285,43,39,Urban,No,Yes,None,No,1957
Hospital 1389,34,60,42,Urban,Yes,No,Neurology,Yes,2022
Hospital 1390,249,5,43,Rural,Yes,Yes,General,Yes,2011
Hospital 1391,237,17,92,Rural,No,No,Oncology,Yes,1960
Hospital 1392,69,100,91,Urban,Yes,No,Neurology,Yes,1981
Hospital 1393,246,2,100,Urban,Yes,No,Cardiology,No,1956
Hospital 1394,386,37,2,Rural,No,No,Cardiology,Yes,2004
Hospital 1395,289,34,12,Urban,No,No,General,No,1950
Hospital 1396,395,24,36,Urban,No,Yes,Neurology,Yes,2000
Hospital 1397,294,2,5,Rural,No,No,General,Yes,2019
Hospital 1398,122,99,45,Rural,Yes,No,Cardiology,No,1967
Hospital 1399,384,38,37,Urban,No,No,Neurology,Yes,1997
Hospital 1400,475,42,33,Rural,No,No,None,Yes,2020
Hospital 1401,475,76,30,Rural,Yes,Yes,None,Yes,1989
Hospital 1402,278,82,86,Rural,No,Yes,Oncology,Yes,2018
Hospital 1403,452,73,72,Rural,Yes,No,Orthopedics,No,2012
Hospital 1404,277,48,57,Rural,Yes,No,Oncology,Yes,1950
Hospital 1405,345,91,36,Urban,No,No,Orthopedics,Yes,1951
Hospital 1406,314,10,91,Rural,No,Yes,Oncology,Yes,1994
Hospital 1407,422,70,67,Rural,No,Yes,None,Yes,2017
Hospital 1408,421,1,25,Rural,No,Yes,Orthopedics,No,1962
Hospital 1409,453,46,64,Rural,Yes,Yes,Oncology,No,2012
Hospital 1410,114,63,99,Rural,No,No,None,No,1995
Hospital 1411,108,100,66,Urban,Yes,No,Oncology,Yes,1962
Hospital 1412,371,35,58,Rural,Yes,No,Orthopedics,No,2007
Hospital 1413,41,23,26,Rural,No,No,General,No,2017
Hospital 1414,410,7,89,Rural,Yes,No,General,Yes,2002
Hospital 1415,379,75,42,Rural,Yes,No,None,No,2005
Hospital 1416,499,49,50,Rural,Yes,No,None,Yes,1953
Hospital 1417,60,98,17,Urban,No,Yes,General,Yes,1961
Hospital 1418,436,82,99,Rural,No,Yes,Cardiology,No,2019
Hospital 1419,497,78,29,Urban,Yes,Yes,Neurology,No,2001
Hospital 1420,434,50,18,Rural,No,Yes,Cardiology,No,1957
Hospital 1421,344,19,85,Urban,Yes,No,Orthopedics,Yes,1964
Hospital 1422,116,62,43,Urban,Yes,Yes,General,No,1987
Hospital 1423,57,90,46,Rural,No,No,Cardiology,No,2001
Hospital 1424,261,100,74,Rural,Yes,Yes,None,Yes,1968
Hospital 1425,142,52,63,Rural,Yes,No,Oncology,No,1991
Hospital 1426,487,24,10,Rural,No,No,Cardiology,Yes,1997
Hospital 1427,188,56,83,Urban,No,Yes,Orthopedics,No,1967
Hospital 1428,333,58,22,Rural,No,Yes,Orthopedics,Yes,1990
Hospital 1429,86,84,55,Rural,Yes,Yes,Neurology,No,2020
Hospital 1430,102,23,85,Urban,No,No,Neurology,No,1998
Hospital 1431,244,0,56,Rural,No,No,Neurology,Yes,1952
Hospital 1432,411,18,25,Rural,Yes,No,None,No,2019
Hospital 1433,127,1,57,Rural,No,Yes,General,Yes,2006
Hospital 1434,257,24,60,Urban,No,Yes,Cardiology,No,1967
Hospital 1435,352,35,76,Urban,No,Yes,Orthopedics,No,2014
Hospital 1436,129,88,100,Rural,Yes,Yes,Cardiology,Yes,1971
Hospital 1437,477,73,68,Rural,No,No,Neurology,No,1950
Hospital 1438,211,96,75,Urban,Yes,Yes,General,No,2021
Hospital 1439,79,13,46,Rural,No,Yes,Oncology,Yes,1950
Hospital 1440,243,75,75,Urban,No,Yes,Orthopedics,No,1983
Hospital 1441,199,81,43,Urban,No,No,Orthopedics,No,1974
Hospital 1442,413,48,17,Rural,Yes,Yes,General,Yes,2001
Hospital 1443,451,66,38,Rural,No,Yes,None,No,2020
Hospital 1444,260,72,50,Rural,No,Yes,Cardiology,No,1969
Hospital 1445,368,10,36,Rural,No,Yes,None,Yes,1951
Hospital 1446,271,13,94,Urban,Yes,No,Oncology,No,2007
Hospital 1447,466,88,47,Rural,Yes,Yes,None,No,1968
Hospital 1448,331,73,49,Rural,Yes,No,Neurology,Yes,1977
Hospital 1449,349,92,70,Rural,No,Yes,Cardiology,Yes,1994
Hospital 1450,174,80,74,Urban,Yes,Yes,None,No,2000
Hospital 1451,453,69,83,Rural,No,No,Cardiology,Yes,2015
Hospital 1452,368,14,88,Rural,Yes,Yes,Orthopedics,No,1956
Hospital 1453,491,11,24,Urban,No,No,General,Yes,2011
Hospital 1454,460,69,6,Urban,Yes,No,General,No,2012
Hospital 1455,194,38,48,Rural,Yes,Yes,General,No,1978
Hospital 1456,73,97,62,Urban,No,Yes,Cardiology,Yes,1981
Hospital 1457,200,99,7,Urban,No,No,None,Yes,1980
Hospital 1458,322,64,69,Rural,Yes,No,General,No,2006
Hospital 1459,335,15,8,Rural,Yes,No,None,No,1991
Hospital 1460,137,40,80,Rural,Yes,No,None,Yes,1995
Hospital 1461,162,81,81,Urban,Yes,No,Orthopedics,Yes,1995
Hospital 1462,333,14,92,Rural,Yes,No,Neurology,No,2017
Hospital 1463,421,66,36,Urban,Yes,No,Oncology,No,2012
Hospital 1464,322,66,36,Rural,Yes,No,Oncology,Yes,1999
Hospital 1465,83,3,84,Urban,Yes,No,Neurology,No,1972
Hospital 1466,389,100,53,Rural,Yes,No,Orthopedics,No,1985
Hospital 1467,179,0,22,Urban,Yes,No,Oncology,No,2015
Hospital 1468,244,59,42,Rural,No,Yes,Cardiology,Yes,1972
Hospital 1469,133,86,37,Urban,Yes,Yes,Cardiology,Yes,1976
Hospital 1470,112,26,3,Urban,No,No,General,No,2020
Hospital 1471,318,27,43,Urban,No,Yes,None,No,2009
Hospital 1472,434,14,30,Rural,No,Yes,General,No,2022
Hospital 1473,81,13,34,Rural,No,No,Neurology,No,2003
Hospital 1474,64,28,69,Urban,No,Yes,Cardiology,No,2005
Hospital 1475,166,75,14,Rural,No,No,None,Yes,1953
Hospital 1476,160,5,88,Rural,Yes,Yes,Oncology,No,2005
Hospital 1477,54,22,81,Urban,No,Yes,Cardiology,No,1999
Hospital 1478,421,95,79,Rural,Yes,No,Orthopedics,Yes,1983
Hospital 1479,240,33,30,Rural,No,Yes,Orthopedics,Yes,1975
Hospital 1480,191,17,15,Rural,Yes,No,General,Yes,2023
Hospital 1481,121,93,90,Urban,Yes,Yes,Orthopedics,No,2009
Hospital 1482,358,30,57,Urban,Yes,No,Oncology,No,2008
Hospital 1483,325,61,76,Rural,No,Yes,None,Yes,1993
Hospital 1484,155,37,32,Urban,No,Yes,Oncology,No,1986
Hospital 1485,239,49,79,Urban,No,No,Oncology,Yes,1961
Hospital 1486,33,7,2,Urban,No,No,Cardiology,No,1970
Hospital 1487,487,78,50,Rural,Yes,No,None,No,1965
Hospital 1488,460,93,54,Urban,No,No,Orthopedics,No,1953
Hospital 1489,190,46,8,Rural,No,Yes,Oncology,No,2016
Hospital 1490,173,61,15,Urban,Yes,No,General,Yes,1953
Hospital 1491,269,20,38,Urban,Yes,Yes,Cardiology,No,1958
Hospital 1492,171,85,32,Urban,Yes,No,Oncology,No,2009
Hospital 1493,23,70,15,Rural,No,No,Oncology,No,1952
Hospital 1494,403,75,28,Urban,Yes,Yes,General,No,1999
Hospital 1495,403,96,5,Urban,Yes,Yes,Neurology,No,1985
Hospital 1496,203,2,9,Rural,Yes,Yes,General,No,1969
Hospital 1497,77,26,99,Urban,Yes,Yes,Neurology,No,1967
Hospital 1498,458,79,12,Urban,Yes,No,Oncology,Yes,2012
Hospital 1499,164,56,23,Urban,Yes,Yes,Neurology,No,1973
Hospital 1500,265,18,31,Urban,Yes,No,General,No,1963
Hospital 1501,26,83,13,Rural,No,No,None,Yes,2002
Hospital 1502,216,31,64,Urban,Yes,Yes,Orthopedics,No,2004
Hospital 1503,362,75,85,Rural,Yes,No,Oncology,Yes,1984
Hospital 1504,284,51,49,Urban,Yes,Yes,General,No,1979
Hospital 1505,459,64,19,Rural,No,Yes,General,No,2004
Hospital 1506,498,52,65,Urban,Yes,No,Orthopedics,Yes,1954
Hospital 1507,196,36,48,Rural,No,Yes,Neurology,No,2016
Hospital 1508,229,78,67,Rural,Yes,Yes,Oncology,No,1990
Hospital 1509,287,77,68,Urban,Yes,Yes,Orthopedics,No,1952
Hospital 1510,215,3,27,Urban,No,Yes,Cardiology,No,2012
Hospital 1511,160,25,93,Rural,No,Yes,General,Yes,1966
Hospital 1512,311,37,83,Rural,No,No,Orthopedics,No,1973
Hospital 1513,243,23,89,Rural,Yes,No,Cardiology,No,2003
Hospital 1514,323,43,75,Urban,No,No,Orthopedics,Yes,1986
